1   0.2 True 5000 1 1 0.05
2   0.2 True 5000 1 1 0.1
3   0.2 True 5000 1 1 0.2
4   0.2 True 5000 1 1 0.5
5   0.2 True 5000 1 1 1
6   0.2 True 5000 1 1 2
7   0.2 True 5000 1 1 10
8   0.2 True 5000 1 2 0.05
9   0.2 True 5000 1 2 0.1
10   0.2 True 5000 1 2 0.2
11   0.2 True 5000 1 2 0.5
12   0.2 True 5000 1 2 1
13   0.2 True 5000 1 2 2
14   0.2 True 5000 1 2 10
15   0.2 True 5000 1 3 0.05
16   0.2 True 5000 1 3 0.1
17   0.2 True 5000 1 3 0.2
18   0.2 True 5000 1 3 0.5
19   0.2 True 5000 1 3 1
20   0.2 True 5000 1 3 2
21   0.2 True 5000 1 3 10
22   0.2 True 10000 1 1 0.05
23   0.2 True 10000 1 1 0.1
24   0.2 True 10000 1 1 0.2
25   0.2 True 10000 1 1 0.5
26   0.2 True 10000 1 1 1
27   0.2 True 10000 1 1 2
28   0.2 True 10000 1 1 10
29   0.2 True 10000 1 2 0.05
30   0.2 True 10000 1 2 0.1
31   0.2 True 10000 1 2 0.2
32   0.2 True 10000 1 2 0.5
33   0.2 True 10000 1 2 1
34   0.2 True 10000 1 2 2
35   0.2 True 10000 1 2 10
36   0.2 True 10000 1 3 0.05
37   0.2 True 10000 1 3 0.1
38   0.2 True 10000 1 3 0.2
39   0.2 True 10000 1 3 0.5
40   0.2 True 10000 1 3 1
41   0.2 True 10000 1 3 2
42   0.2 True 10000 1 3 10
43   0.2 True 20000 1 1 0.05
44   0.2 True 20000 1 1 0.1
45   0.2 True 20000 1 1 0.2
46   0.2 True 20000 1 1 0.5
47   0.2 True 20000 1 1 1
48   0.2 True 20000 1 1 2
49   0.2 True 20000 1 1 10
50   0.2 True 20000 1 2 0.05
51   0.2 True 20000 1 2 0.1
52   0.2 True 20000 1 2 0.2
53   0.2 True 20000 1 2 0.5
54   0.2 True 20000 1 2 1
55   0.2 True 20000 1 2 2
56   0.2 True 20000 1 2 10
57   0.2 True 20000 1 3 0.05
58   0.2 True 20000 1 3 0.1
59   0.2 True 20000 1 3 0.2
60   0.2 True 20000 1 3 0.5
61   0.2 True 20000 1 3 1
62   0.2 True 20000 1 3 2
63   0.2 True 20000 1 3 10
64   0.2 True 40000 1 1 0.05
65   0.2 True 40000 1 1 0.1
66   0.2 True 40000 1 1 0.2
67   0.2 True 40000 1 1 0.5
68   0.2 True 40000 1 1 1
69   0.2 True 40000 1 1 2
70   0.2 True 40000 1 1 10
71   0.2 True 40000 1 2 0.05
72   0.2 True 40000 1 2 0.1
73   0.2 True 40000 1 2 0.2
74   0.2 True 40000 1 2 0.5
75   0.2 True 40000 1 2 1
